product_name,product_color,memory_size_in_gb,ratings,ram_size_in_gb,rom_size_in_gb,product_size_in_inches,front_cam_mp,battery_size_mAh,price_in_rupees
Muphone MU M360, , ,4.3,32,32, , ,800,₹990
Good One Magic, , ,4.1,32,32, , ,1000,"₹1,499"
iQOO 3 ,5G  , ,4.4,12,256, , ,4440,"₹44,990"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Vivo V19 ,Piano Black,256,4.4,8,256,6.44,32,4500,"₹31,990"
Honor 20 ,Midnight Black,128,4.4,6,128, , ,3750,"₹22,999"
Detel D1 Champ, , ,3.7,32,32, , ,1000,₹649
OPPO Reno3 Pro ,Midnight Black,128,4.4,8,128,6.4,44,4025,"₹29,990"
Redmi Note 8 ,Cosmic Purple,64,4.4,4,64, , ,4000,"₹13,999"
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
Lava 34 Plus, , ,4.2,32,32,2.4, ,2500,"₹1,619"
I Kall K6610, , ,3.5,32,64,1.8, ,1000,₹599
Blackbear B5 Nex, , ,3.7,64,64,1.8, ,1050,₹799
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
Redmi K20 Pro ,Pearl White,128,4.5,6,128, , ,4000,"₹24,999"
Micromax X512, , ,3.9,56,24, , ,1750,₹985
I Kall K34 New, , ,3.6,32,64,1.8, ,800,₹649
Karbonn K140 Pop, , ,3.9,32,32,1.8, ,1000,₹849
Nokia 150, , ,4.2,4,4,2.4, ,1020,"₹2,135"
OnePlus 7T ,Glacier Blue,256,4.6,8,256, , ,3800,"₹38,084"
Kechaoda K116 Plus, , ,4,32,32, , ,400,₹980
Realme 2 Pro ,Black Sea,128,4.5,8,128,6.3,16,3500,"₹15,490"
Salora VOLT 2, , ,3.9,32,32, , ,2000,₹749
OnePlus 7 ,Red,256,4.6,8,256, , ,3700,"₹37,850"
I Kall K33 New, , ,3.7,32,64, , ,1500,₹749
Nokia 106, , ,4.2,4,4, , , ,"₹1,349"
Easyfone Royale, , ,4.1,32,32,2.4,0,,"₹3,399"
Lava Z41 ,Amber Red,16,4.1,1,16,5,2,,"₹5,049"
OPPO Reno 10x Zoom ,Ocean Green,256,4.5,8,256,6.6,16,4065,"₹41,990"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Samsung Galaxy M31 ,Ocean Blue,128,4.5,6,128,6.4,32,6000,"₹19,900"
Blackbear C-99 Sultan, , ,3.6,64,64,2.4, ,2500,"₹1,079"
Kechaoda K115, , ,4.1,32,32, , ,850,₹970
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
Kechaoda A27, , ,4.1,32,32,0.66, , ,₹945
Lava A1 super, , ,4,32,32,1.8, ,800,"₹1,049"
Kechaoda K115, , ,4.1,32,32, , ,850,₹945
Apple iPhone 7 Plus ,Rose Gold,32,4.5,32, , , ,Apple,"₹36,999"
I Kall K50, , ,3.7,32,64, , ,2000,₹809
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
Vivo Y91i ,Black,32,4.3,3,32, , ,4030,"₹10,169"
Karbonn K9 SPY, , ,3.9,Expandable, , , ,1750,"₹1,399"
I Kall K 30, , ,3.8,32,64, , ,1000,₹649
OPPO A9 2020 ,Space Purple,128,4.4,4,128, , ,5000,"₹18,990"
OPPO A9 2020 ,Vanilla Mint,128,4.3,8,128, , ,5000,"₹15,990"
OPPO F11 Pro ,Aurora Green,128,4.4,6,128,6.5,16,4000,"₹17,990"
Micromax X740, , ,3.8,128,32, , ,1800,"₹1,460"
